id	chr	gene_length
NM_000850	chr1	5619
NM_002976	chr2	81940
NM_147148	chr1	9422
NM_000848	chr1	7217
NM_000561	chr1	5925
NM_146421	chr1	5925
NM_000851	chr1	6024
NM_000849	chr1	6487
NM_024526	chr1	13863
NM_133181	chr1	13863
NM_139053	chr1	13863
NM_172210	chr1	14368
NM_172212	chr1	15909
NM_000757	chr1	18898
NM_172211	chr1	18898
NM_033088	chr1	20015
NM_203412	chr1	1507
NM_001010898	chr1	51714
NM_153763	chr1	12640
NM_001039574	chr1	22601
NM_004978	chr1	22601
NM_022768	chr1	7359
NM_004696	chr1	28132
NM_006402	chr1	6668
NM_032414	chr1	6187
NM_005549	chr1	1959
NM_004974	chr1	2570
NM_002232	chr1	3346
NM_001006945	chr1	16755
NM_018372	chr1	16755
NM_178454	chr1	22758
NM_001007794	chr1	45476
NM_006090	chr1	44892
NM_024901	chr1	13481
NM_001025197	chr1	15780
NM_004000	chr1	15780
NM_001025199	chr1	13728
NM_001013621	chr1	6049
NM_201653	chr1	29696
NM_021797	chr1	29701
NM_181643	chr1	6381
NM_002557	chr1	13462
NM_024102	chr1	9318
NM_001688	chr1	12781
NM_174896	chr1	4530
NM_020683	chr1	20139
NM_000677	chr1	4689
NM_001010935	chr1	93696
NM_002884	chr1	93696
NM_019099	chr1	13653
NM_198926	chr1	30050
NM_007204	chr1	11945
NM_004980	chr1	213324
NM_172198	chr1	213324
NM_018704	chr1	63355
NM_004185	chr1	53866
NM_024494	chr1	12040
NM_017744	chr1	95898
NM_138727	chr1	95898
NM_138728	chr1	95898
NM_138729	chr1	77625
NM_006135	chr1	52167
NM_020963	chr1	25891
NM_005167	chr1	5335
NM_001004440	chr1	6666
NM_182759	chr1	6666
NM_014813	chr1	51512
NM_020965	chr1	291596
NM_152900	chr1	291354
NM_006608	chr1	61515
NM_018364	chr1	50616
NM_015967	chr1	57895
NM_012411	chr1	38749
NM_001029946	chr1	6278
NM_001029944	chr1	6252
NM_001029945	chr1	5454
NM_006594	chr1	10015
NM_022836	chr1	8655
NM_152696	chr1	42698
NM_198268	chr1	48426
NM_198269	chr1	26655
NM_181358	chr1	23923
NM_020190	chr1	2846
NM_004442	chr1	204492
NM_015906	chr1	118381
NM_033020	chr1	118381
NM_005872	chr1	14083
NM_001014980	chr1	4270
NM_013358	chr1	40881
NM_000036	chr1	22455
NM_002524	chr1	9931
NM_001007553	chr1	41087
NM_007158	chr1	41087
NM_025073	chr1	7896
NM_003176	chr1	140534
NM_005725	chr1	41482
NM_002506	chr1	52321
NM_138959	chr1	56272
NM_005599	chr1	4747
NM_018420	chr1	92904
NM_152367	chr1	23486
NM_000701	chr1	31559
NM_001001586	chr1	31559
NM_001779	chr1	56447
NM_001007237	chr1	93284
NM_001542	chr1	93284
NM_001013643	chr1	12492
NM_001767	chr1	14749
NM_020440	chr1	80284
NM_004258	chr1	34606
NM_003594	chr1	42541
NM_025188	chr1	10722
NM_006699	chr1	158236
NM_017686	chr1	60167
NM_006784	chr1	30659
NM_206996	chr1	231547
NM_152380	chr1	106514
NM_015836	chr1	109447
NM_201263	chr1	109447
NM_001005783	chr1	25350
NM_016527	chr1	25350
NM_000198	chr1	7877
NM_006623	chr1	32327
NM_005518	chr1	20514
NM_032044	chr1	17495
NM_021794	chr1	2958
NM_024408	chr1	158099
NM_001004340	chr1	8761
NM_001017986	chr1	8761
NM_178230	chr1	660
NM_001037675	chr1	213852
NM_014644	chr1	143597
NM_001002811	chr1	41442
NM_001002812	chr1	104432
NM_001002810	chr1	43262
NM_022359	chr1	124263
NM_203458	chr1	73713
NM_145277	chr1	4268
NM_202004	chr1	4268
NM_213652	chr1	4268
NM_213653	chr1	4268
NM_006472	chr1	3942
NM_032305	chr1	14152
NM_153713	chr1	22006
NM_005105	chr1	3807
NM_003846	chr1	7349
NM_003637	chr1	18878
NM_001048166	chr1	64009
NM_001012758	chr1	2941
NM_006468	chr1	18279
NM_014455	chr1	77691
NM_007053	chr1	19768
NM_002614	chr1	36348
NM_183372	chr1	35704
NM_005399	chr1	17443
NM_001461	chr1	39085
NM_004284	chr1	53108
NM_004326	chr1	84832
NM_016361	chr1	23447
NM_007365	chr1	52693
NM_005267	chr1	6458
NM_016334	chr1	65059
NM_001079843	chr1	160042
NM_017766	chr1	149438
NM_207400	chr1	96807
NM_178230	chr1	660
NM_015383	chr1	22206
NM_001039703	chr1	95081
NM_173638	chr1	35168
NM_001013644	chr1	3389
NM_001025303	chr1	410
NM_178230	chr1	660
NM_000566	chr1	9786
NM_001024599	chr1	1793
NM_003548	chr1	395
NM_021059	chr1	507
NM_003516	chr1	533
NM_003516	chr1	533
NM_021059	chr1	506
NM_001003682	chr1	4468
NM_177989	chr3	25481
NM_003548	chr1	395
NM_003528	chr1	2221
NM_003517	chr1	436
NM_175065	chr1	447
NM_016074	chr1	1144
NM_014849	chr1	14191
NM_005850	chr1	4492
NM_181873	chr1	7700
NM_016274	chr1	9647
NM_030920	chr1	17606
NM_012113	chr1	7259
NM_024579	chr1	8128
NM_144697	chr1	4273
NM_031901	chr1	14513
NM_018997	chr1	14550
NM_004698	chr1	31651
NM_015203	chr1	109446
NM_025150	chr1	19828
NM_004425	chr1	5454
NM_022664	chr1	5454
NM_025008	chr1	9324
NM_019032	chr1	11513
NM_001025493	chr1	1914
NM_021960	chr1	5100
NM_182763	chr1	5100
NM_207045	chr1	7009
NM_207046	chr1	7009
NM_004436	chr1	7498
NM_207042	chr1	7498
NM_207047	chr1	5855
NM_207043	chr1	6344
NM_207044	chr1	6344
NM_207168	chr1	2575
NM_018178	chr1	50928
NM_032132	chr1	22811
NM_004079	chr1	35752
NM_000396	chr1	12126
NM_001668	chr1	67001
NM_178426	chr1	67001
NM_178427	chr1	67001
NM_012432	chr1	38323
NM_000549	chr1	4527
NM_003568	chr1	13554
NM_021222	chr1	27217
NM_017860	chr1	3611
NM_001038707	chr1	8679
NM_020239	chr1	8679
NM_006818	chr1	8822
NM_144618	chr1	49317
NM_030913	chr1	14940
NM_024575	chr1	3095
NM_212551	chr1	6112
NM_001002234	chr1	3096
NM_024041	chr1	3096
NM_013353	chr1	5963
NM_005997	chr1	13707
NM_003557	chr1	50933
NM_002810	chr1	12756
NM_153822	chr1	12756
NM_020832	chr1	9590
NM_002651	chr1	34312
NM_000449	chr1	6653
NM_001025603	chr1	6653
NM_003944	chr1	8384
NM_002796	chr1	2372
NM_015100	chr1	56733
NM_207171	chr1	56733
NM_145796	chr1	32489
NM_020770	chr1	27293
NM_020127	chr1	43278
NM_030918	chr1	86898
NM_007185	chr1	14461
NM_031420	chr1	3916
NM_016178	chr1	4675
NM_006862	chr1	18956
NM_001004432	chr1	5118
NM_001001523	chr1	20005
NM_005060	chr1	25800
NM_182578	chr1	7954
NM_053055	chr1	36054
NM_005620	chr1	4528
NM_001008536	chr1	4921
NM_001009931	chr1	12112
NM_002016	chr1	23029
NM_001014342	chr1	11264
NM_016190	chr1	5010
NM_019060	chr1	1503
NM_178435	chr1	1118
NM_032563	chr1	1120
NM_178434	chr1	284
NM_178433	chr1	287
NM_178431	chr1	269
NM_178430	chr1	1263
NM_178429	chr1	1277
NM_014357	chr1	1276
NM_178428	chr1	1077
NM_178356	chr1	299
NM_001025231	chr1	4024
NM_178354	chr1	356
NM_178353	chr1	2146
NM_178352	chr1	344
NM_178351	chr1	1797
NM_178349	chr1	1139
NM_178348	chr1	332
NM_030663	chr1	6718
NM_005547	chr1	3323
NM_173080	chr1	1942
NM_005987	chr1	1733
NM_005416	chr1	2107
NM_003125	chr1	1697
NM_006945	chr1	2196
NM_005988	chr1	1392
NM_001017418	chr1	1368
NM_001024209	chr1	1390
NM_001014450	chr1	1375
NM_001014291	chr1	549
NM_001010857	chr1	1676
NM_052891	chr1	12857
NM_020393	chr1	18424
NM_005621	chr1	1892
NM_002964	chr1	1041
NM_176823	chr1	6702
NM_014624	chr1	1642
NM_002962	chr1	4619
NM_002961	chr1	2185
NM_002960	chr1	1926
NM_005978	chr1	4720
NM_080388	chr1	6148
NM_020672	chr1	2058
NM_001024213	chr1	8245
NM_001024212	chr1	8465
NM_001024211	chr1	8838
NM_005979	chr1	9436
NM_001024210	chr1	15289
NM_006271	chr1	3641
NM_015607	chr1	11455
NM_012437	chr1	3105
NM_004515	chr1	8965
NM_000906	chr1	15351
NM_023015	chr1	45989
NM_024330	chr1	4865
NM_020699	chr1	21720
NM_181715	chr1	10890
NM_014437	chr1	8600
NM_130898	chr1	6436
NM_006694	chr1	3705
NM_002870	chr1	4677
NM_001030	chr1	1395
NM_207308	chr1	162427
NM_014762	chr1	37622
NM_001043351	chr1	27946
NM_001010979	chr1	6962
NM_015449	chr1	13911
NM_138740	chr1	13896
NM_014847	chr1	45771
NM_001018837	chr1	3311
NM_006118	chr1	3311
NM_080429	chr1	4209
NM_001005855	chr1	12285
NM_020452	chr1	23504
NM_000565	chr1	62520
NM_181359	chr1	62520
NM_001010846	chr1	22630
NM_182499	chr1	45928
NM_017582	chr1	10070
NM_001111	chr1	26148
NM_015840	chr1	26148
NM_015841	chr1	26148
NM_001025107	chr1	45903
NM_170782	chr1	152426
NM_020524	chr1	12012
NM_138300	chr1	4756
NM_003029	chr1	12066
NM_183001	chr1	6724
NM_001826	chr1	4509
NM_025207	chr1	9771
NM_201398	chr1	9771
NM_018655	chr1	729
NM_015872	chr1	2529
NM_152494	chr1	17107
NM_003815	chr1	11491
NM_207191	chr1	11491
NM_207194	chr1	11491
NM_207195	chr1	11491
NM_207196	chr1	11491
NM_207197	chr1	11491
NM_005227	chr1	5815
NM_182689	chr1	5815
NM_004952	chr1	8659
NM_004428	chr1	7036
NM_182685	chr1	7036
NM_018845	chr1	3002
NM_018973	chr1	515
NM_153741	chr1	628
NM_173852	chr1	3920
NM_025058	chr1	11086
NM_001018016	chr1	4399
NM_001018017	chr1	4399
NM_002456	chr1	4399
NM_007112	chr1	12310
NM_002455	chr1	5124
NM_198883	chr1	5133
NM_000157	chr1	6810
NM_001005741	chr1	10245
NM_001005742	chr1	10245
NM_001005749	chr1	10245
NM_001005750	chr1	10245
NM_006589	chr1	8278
NM_198264	chr1	8278
NM_005698	chr1	6425
NM_052837	chr1	6423
NM_001291	chr1	10622
NM_003993	chr1	10622
NM_020897	chr1	12265
NM_181871	chr1	11117
NM_000298	chr1	11582
NM_002004	chr1	10880
NM_001039517	chr1	3687
NM_014328	chr1	6536
NM_018116	chr1	4751
NM_139118	chr1	29546
NM_004632	chr1	49444
NM_033657	chr1	49444
NM_001037533	chr1	107463
NM_032292	chr1	92395
NM_152280	chr1	25536
NM_014949	chr1	21353
NM_004723	chr1	31306
NM_173471	chr3	135722
NM_020131	chr1	18424
NM_014017	chr1	3695
NM_005572	chr1	23159
NM_170707	chr1	25374
NM_170708	chr1	25374
NM_022367	chr1	24147
NM_014655	chr1	18688
NM_007221	chr1	27048
NM_199173	chr1	1108
NM_024897	chr1	4637
NM_198406	chr1	4581
NM_015327	chr1	33600
NM_032323	chr1	9496
NM_144580	chr1	2965
NM_001004319	chr1	675
NM_001008800	chr1	29444
NM_001008883	chr1	29444
NM_005998	chr1	29444
NM_144627	chr1	9679
NM_006365	chr1	25130
NM_005920	chr1	37010
NM_178229	chr1	47199
NM_015590	chr1	6992
NM_182679	chr1	6992
NM_021817	chr1	6433
NM_198427	chr1	11523
NM_021948	chr1	17579
NM_006617	chr1	8632
NM_001878	chr1	5970
NM_030980	chr1	5293
NM_015997	chr1	8464
NM_024540	chr1	3830
NM_145729	chr1	3830
NM_004494	chr1	9635
NM_005973	chr1	33331
NM_199416	chr1	33331
NM_003975	chr1	10567
NM_001007792	chr1	66101
NM_014215	chr1	18001
NM_001012331	chr1	20972
NM_002529	chr1	20972
NM_144702	chr1	12177
NM_014784	chr1	110530
NM_198236	chr1	110530
NM_001004341	chr1	7765
NM_005240	chr1	5200
NM_031281	chr1	39143
NM_031282	chr1	24331
NM_052939	chr1	22669
NM_138738	chr1	22190
NM_030764	chr1	31384
NM_052938	chr1	25238
NM_005894	chr1	10846
NM_018240	chr1	102784
NM_001042584	chr1	3802
NM_001004475	chr1	945
NM_001004476	chr1	939
NM_001004473	chr1	940
NM_001004472	chr1	1007
NM_001005189	chr1	976
NM_001004477	chr1	978
NM_001004478	chr1	941
NM_006099	chr1	10559
NM_002966	chr1	11328
NM_002963	chr1	2917
NM_003126	chr1	76011
NM_001005279	chr1	975
NM_001005327	chr1	994
NM_001005184	chr1	1032
NM_001005185	chr1	938
NM_001005278	chr1	953
NM_002432	chr1	18103
NM_152501	chr1	45169
NM_198928	chr1	45169
NM_198930	chr1	45169
NM_198929	chr1	45484
NM_004833	chr1	14373
NM_021189	chr1	30382
NM_002036	chr1	1779
NM_002001	chr1	18510
NM_001004467	chr1	988
NM_012351	chr1	962
NM_001004469	chr1	928
NM_001639	chr1	1045
NM_000567	chr1	2300
NM_017823	chr1	1575
NM_001004310	chr1	13238
NM_020125	chr1	10681
NM_001013661	chr1	8341
NM_012337	chr1	27751
NM_003564	chr1	7382
NM_020789	chr1	18555
NM_033438	chr1	2727
NM_002241	chr1	31928
NM_004983	chr1	7853
NM_052868	chr1	7271
NM_000702	chr1	27825
NM_144699	chr1	35401
NM_001001734	chr1	9566
NM_001231	chr1	11310
NM_003768	chr1	10034
NM_015726	chr1	46475
NM_002857	chr1	8330
NM_004371	chr1	54394
NM_015331	chr1	15679
NM_005598	chr1	5727
NM_020335	chr1	28098
NM_052931	chr1	38223
NM_003874	chr1	33469
NM_003037	chr1	36980
NM_001778	chr1	33048
NM_021181	chr1	15524
NM_001033667	chr1	6554
NM_002348	chr1	32116
NM_016382	chr1	32696
NM_017625	chr1	8629
NM_080878	chr1	9773
NM_016946	chr1	24950
NM_144502	chr1	24950
NM_144504	chr1	42728
NM_144503	chr1	42751
NM_007122	chr1	6716
NM_207005	chr1	6716
NM_001025598	chr1	23028
NM_181720	chr1	23028
NM_030916	chr1	17847
NM_001007255	chr1	1981
NM_001007256	chr1	1981
NM_152366	chr1	1981
NM_012394	chr1	17520
NM_005600	chr1	2967
NM_001039712	chr1	11489
NM_001039711	chr1	11711
NM_032998	chr1	11711
NM_016406	chr1	5097
NM_001014443	chr1	6262
NM_012475	chr1	6262
NM_000309	chr1	4817
NM_003779	chr1	6214
NM_005099	chr1	9306
NM_004550	chr1	15078
NM_004106	chr1	3952
NM_001643	chr1	1336
NM_005122	chr1	8543
NM_000530	chr1	5227
NM_001035511	chr1	50368
NM_001035512	chr1	50368
NM_001035513	chr1	50368
NM_003001	chr1	50368
NM_001013625	chr1	3143
NM_021642	chr1	14140
NM_002155	chr1	2650
NM_000569	chr1	8268
NM_001005412	chr1	18260
NM_001005410	chr1	18393
NM_001005411	chr1	18393
NM_201563	chr1	18393
NM_000570	chr1	7849
NM_001002273	chr1	15012
NM_001002274	chr1	15012
NM_001002275	chr1	15012
NM_004001	chr1	15012
NM_032738	chr1	7380
NM_001002901	chr1	5476
NM_007240	chr1	7371
NM_007348	chr1	192768
NM_015441	chr1	40661
NM_014697	chr1	298648
NM_182581	chr1	2838
NM_053282	chr1	16873
NM_175866	chr1	26190
NM_003115	chr1	38304
NM_001014796	chr1	148010
NM_006182	chr1	148010
NM_016371	chr1	22112
NM_178550	chr1	17500
NM_005613	chr1	7228
NM_003617	chr1	60775
NM_139135	chr1	86080
NM_002585	chr1	287373
NM_001033507	chr1	11408
NM_177399	chr1	11408
NM_177398	chr1	153913
NM_006917	chr1	44080
NM_001009598	chr1	8266
NM_001005214	chr1	19955
NM_004528	chr1	24404
NM_019026	chr1	41581
NM_012474	chr1	80448
NM_017542	chr1	14986
NM_053053	chr1	19730
NM_199351	chr1	56566
NM_032858	chr1	32929
NM_005814	chr1	37787
NM_002697	chr1	195175
NM_000734	chr1	87943
NM_198053	chr1	87943
NM_003851	chr1	12804
NM_052862	chr1	76156
NM_003953	chr1	68851
NM_024569	chr1	68851
NM_018417	chr1	104458
NM_015415	chr1	17923
NM_001017977	chr1	139172
NM_018442	chr1	139172
NM_153832	chr1	51626
NM_007369	chr1	14464
NM_001031800	chr1	13462
NM_152902	chr1	23179
NM_199344	chr1	17132
NM_005149	chr1	33385
NM_003175	chr1	3219
NM_002995	chr1	5460
NM_001937	chr1	33722
NM_001001787	chr1	26014
NM_001677	chr1	26014
NM_013330	chr1	235416
NM_197972	chr1	235412
NM_003666	chr1	28585
NM_021179	chr1	32557
NM_006996	chr1	22074
NM_003005	chr1	41318
NM_000450	chr1	11398
NM_033418	chr1	2360
NM_018186	chr1	57678
NM_020423	chr1	40807
NM_181093	chr1	35693
NM_014970	chr1	153409
NM_152281	chr1	21315
NM_006902	chr1	75228
NM_022716	chr1	75228
NM_001002294	chr1	26922
NM_006894	chr1	26922
NM_001460	chr1	27435
NM_002021	chr1	37449
NM_002022	chr1	27737
NM_001048172	chr1	10874
NM_001048173	chr1	10874
NM_000261	chr1	17216
NM_003762	chr1	39055
NM_001007239	chr1	16095
NM_014955	chr1	16095
NM_015935	chr1	16095
NM_015569	chr1	571219
NM_139240	chr1	48136
NM_002642	chr1	2633
NM_153747	chr1	2633
NM_016227	chr1	79483
NM_014283	chr1	78615
NM_000639	chr1	7826
NM_005092	chr1	9606
NM_003326	chr1	23601
NM_004905	chr1	11462
NM_178527	chr1	102577
NM_198493	chr1	61527
NM_014458	chr1	71759
NM_033319	chr1	24443
NM_018122	chr1	33725
NM_032522	chr1	5245
NM_000488	chr1	13531
NM_172071	chr1	56294
NM_014857	chr1	798693
NM_005684	chr1	1472
NM_001035230	chr1	82643
NM_001007214	chr1	12593
NM_014412	chr1	12272
NM_022100	chr1	9432
NM_022093	chr1	80209
NM_014656	chr1	35807
NM_003285	chr1	83997
NM_001001740	chr1	262403
NM_022457	chr1	262403
NM_148962	chr2	1760
NM_024753	chr2	79895
NM_004319	chr1	303821
NM_207108	chr1	296071
NM_021165	chr1	110925
NM_170692	chr1	379926
NM_004841	chr1	132950
NM_001001689	chr1	5736
NM_032126	chr1	9573
NM_207467	chr1	6094
NM_152663	chr1	191543
NM_018037	chr1	154545
NM_004673	chr1	21545
NM_014864	chr1	50620
NM_005158	chr1	35429
NM_007314	chr1	121980
NM_003101	chr1	61436
NM_144696	chr1	188754
NM_182766	chr1	188754
NM_014625	chr1	25393
NM_173533	chr1	99374
NM_173509	chr1	73029
NM_145034	chr1	32981
NM_022347	chr1	396
NM_015602	chr1	37792
NM_001004128	chr1	43200
NM_002826	chr1	43200
NM_033343	chr1	44747
NM_032360	chr1	214114
NM_004736	chr1	254307
NM_005819	chr1	49868
NM_001531	chr1	21495
NM_016545	chr1	2335
NM_000721	chr1	317998
NM_001009992	chr1	7141
NM_001033056	chr1	8840
NM_001033044	chr1	9282
NM_002065	chr1	9282
NM_001010899	chr1	7193
NM_181572	chr1	72313
NM_021133	chr1	13337
NM_002928	chr1	5785
NM_033345	chr1	26276
NM_030769	chr1	37195
NM_000866	chr3	10737
NM_002293	chr1	122174
NM_018891	chr1	55000
NM_005562	chr1	58641
NM_170706	chr1	56631
NM_015039	chr1	170359
NM_014837	chr1	81692
NM_173156	chr1	81692
NM_201568	chr1	81692
NM_201569	chr1	81692
NM_000433	chr1	35019
NM_005717	chr1	9652
NM_052965	chr1	22496
NM_030806	chr1	242006
NM_025191	chr1	64067
NM_007212	chr1	57190
NM_030934	chr1	38848
NM_017673	chr1	134528
NM_006469	chr1	20938
NM_016389	chr1	20938
NM_005807	chr1	17709
NM_017847	chr1	45502
NM_022375	chr1	883
NM_022576	chr1	5135
NM_002597	chr1	17518
NM_000963	chr1	8587
NM_005191	chr3	35340
NM_001012274	chr1	2629
NM_199051	chr1	379963
NM_130782	chr1	27352
NM_001039152	chr1	50291
NM_002922	chr1	4303
NM_002927	chr1	24106
NM_144766	chr1	24106
NM_002923	chr1	3233
NM_001042370	chr1	25357
NM_004600	chr1	26487
NM_197962	chr1	8957
NM_016066	chr1	9644
NM_024529	chr1	129896
NM_003783	chr1	7549
NM_198503	chr1	382587
NM_001014975	chr1	49553
NM_000186	chr1	95491
NM_005666	chr1	15423
NM_030787	chr1	32097
NM_018136	chr1	62114
NM_194314	chr1	46859
NM_201253	chr1	210177
NM_019049	chr1	73532
NM_144977	chr1	222938
NM_001024594	chr1	4719
NM_001014434	chr1	17639
NM_020204	chr1	12757
NM_133494	chr1	87088
NM_133262	chr1	17720
NM_133326	chr1	17720
NM_005380	chr1	14138
NM_018584	chr1	3844
NM_015484	chr1	10245
NM_207170	chr1	10245
NM_001703	chr1	36930
NM_000696	chr1	36452
NM_080923	chr1	54196
NM_002838	chr1	118409
NM_003822	chr1	149779
NM_205860	chr1	149779
NM_012482	chr1	3740
NM_014875	chr1	68556
NM_031306	chr1	45993
NM_001031725	chr1	25874
NM_203459	chr1	121144
NM_005298	chr1	1086
NM_018265	chr1	24195
NM_017596	chr1	54309
NM_001042521	chr2	65723
NM_001042520	chr2	53237
NM_001042519	chr2	22620
NM_032321	chr2	22528
NM_016456	chr1	19718
NM_178275	chr1	16304
NM_000299	chr1	49536
NM_001005337	chr1	49536
NM_000364	chr1	18664
NM_001001430	chr1	18664
NM_001001431	chr1	18664
NM_001001432	chr1	18664
NM_005558	chr1	18704
NM_003281	chr1	17979
NM_004078	chr1	23591
NM_020443	chr1	177006
NM_005531	chr1	45262
NM_018085	chr1	55134
NM_198149	chr1	3395
NM_006335	chr1	15140
NM_020216	chr1	23509
NM_004433	chr1	8059
NM_004767	chr1	6605
NM_138795	chr1	11890
NM_080588	chr1	12977
NM_002832	chr1	13609
NM_001017403	chr1	125771
NM_021636	chr1	115984
NM_001017404	chr1	105606
NM_014176	chr1	10292
NM_002481	chr1	239862
NM_032105	chr1	239862
NM_032103	chr1	118410
NM_032104	chr1	118410
NM_177402	chr1	114658
NM_006618	chr1	81017
NM_002871	chr1	10176
NM_021633	chr1	36142
NM_015999	chr1	17459
NM_016243	chr1	5401
NM_015053	chr1	27553
NM_001048230	chr1	39698
NM_002508	chr1	89341
NM_004997	chr1	8004
NM_001276	chr1	7948
NM_003465	chr1	12982
NM_006763	chr1	4064
NM_002023	chr1	10537
NM_002725	chr1	15595
NM_201348	chr1	15595
NM_014359	chr1	14807
NM_001001396	chr1	117280
NM_001684	chr1	117280
NM_017773	chr1	11142
NM_003094	chr1	9539
NM_005686	chr1	54624
NM_018208	chr1	20832
NM_000537	chr1	11518
NM_198447	chr1	15933
NM_014935	chr1	141063
NM_032833	chr1	8399
NM_002646	chr1	67707
NM_002393	chr1	34216
NM_006338	chr1	68177
NM_201630	chr1	68293
NM_005076	chr1	34797
NM_203376	chr1	1331
NM_005057	chr1	35153
NM_015375	chr1	69058
NM_199462	chr1	69058
NM_014858	chr1	45380
NM_030952	chr1	19693
NM_018203	chr1	20392
NM_001001552	chr1	40669
NM_002596	chr1	28189
NM_212502	chr1	28189
NM_212503	chr1	28189
NM_181644	chr1	33173
NM_001973	chr1	16764
NM_021795	chr1	13603
NM_022731	chr1	32185
NM_003929	chr1	6447
NM_173854	chr1	23940
NM_152491	chr1	22092
NM_052934	chr1	30410
NM_134325	chr1	30410
NM_000707	chr1	7688
NM_001007544	chr1	49776
NM_001910	chr1	14645
NM_148964	chr1	14645
NM_014002	chr1	26427
NM_001025592	chr1	6613
NM_023923	chr1	62220
NM_001048183	chr1	130788
NM_006893	chr1	20928
NM_001004023	chr1	13661
NM_003582	chr1	13661
NM_004759	chr1	49338
NM_032960	chr1	49338
NM_000572	chr1	4892
NM_153758	chr1	44110
NM_013371	chr1	14103
NM_018724	chr1	3414
NM_006850	chr1	6696
NM_181339	chr1	6696
NM_005449	chr1	17613
NM_002644	chr1	17936
NM_023938	chr1	14224
NM_018566	chr1	7229
NM_006212	chr1	24542
NM_001018053	chr1	27748
NM_001017365	chr1	11124
NM_001017366	chr1	11124
NM_000716	chr1	10752
NM_001017364	chr1	10752
NM_001017367	chr1	10708
NM_000715	chr1	40702
NM_000574	chr1	38982
NM_001006658	chr1	35569
NM_001877	chr1	35569
NM_000573	chr1	145637
NM_000651	chr1	145637
NM_002389	chr1	43456
NM_153826	chr1	43456
NM_172350	chr1	43456
NM_172351	chr1	43456
NM_172352	chr1	43456
NM_172353	chr1	43456
NM_172354	chr1	43456
NM_172355	chr1	43456
NM_172356	chr1	43456
NM_172357	chr1	43456
NM_172358	chr1	43456
NM_172359	chr1	43456
NM_172360	chr1	43456
NM_172361	chr1	43456
NM_001039568	chr1	4203
NM_001025109	chr1	24800
NM_001773	chr1	24800
NM_020439	chr1	30239
NM_001017402	chr1	36462
NM_000228	chr1	37603
NM_015714	chr1	968
NM_181755	chr1	48745
NM_005525	chr1	30104
NM_025228	chr1	26141
NM_152485	chr1	2229
NM_006147	chr1	18218
NM_014388	chr1	29576
NM_153262	chr1	224076
NM_019605	chr1	10244
NM_018194	chr1	347342
NM_002238	chr1	450903
NM_172362	chr1	450903
NM_018254	chr1	56252
NM_004619	chr1	48328
NM_001033910	chr1	48106
NM_145759	chr1	28579
NM_183059	chr1	15479
NM_021194	chr1	3717
NM_002497	chr1	12846
NM_014873	chr1	85786
NM_015434	chr1	94187
NM_016448	chr1	69056
NM_006243	chr1	76326
NM_018252	chr1	50965
NM_013349	chr1	13440
NM_004024	chr1	12121
NM_001674	chr1	12121
NM_153606	chr1	2299
NM_018664	chr1	13568
NM_001024601	chr1	17507
NM_014053	chr1	37158
NM_024749	chr1	40270
NM_144567	chr1	23644
NM_012424	chr1	222211
NM_002763	chr1	47901
NM_020197	chr1	55898
NM_005401	chr1	193632
NM_016343	chr1	61381
NM_001017424	chr1	231294
NM_014217	chr1	153800
NM_001017425	chr1	153690
NM_016121	chr1	54413
NM_206933	chr1	800503
NM_007123	chr1	249445
NM_001438	chr1	220220
NM_206594	chr1	586389
NM_206595	chr1	586389
NM_018040	chr1	200576
NM_138796	chr1	235790
NM_016052	chr1	46265
NM_003238	chr1	95103
NM_138794	chr1	37936
NM_018713	chr1	14388
NM_004446	chr1	78057
NM_018060	chr1	53922
NM_012414	chr1	122026
NM_018650	chr1	135705
NM_017898	chr1	35919
NM_022746	chr1	27459
NM_021958	chr1	5637
NM_001010913	chr1	6369
NM_144728	chr1	36037
NM_007207	chr1	40696
NM_144729	chr1	40696
NM_005681	chr1	31591
NM_139352	chr1	31591
NM_207468	chr1	13445
NM_032890	chr1	77553
NM_017982	chr1	143313
NM_001037175	chr1	129223
NM_152610	chr1	2045
NM_001748	chr1	63518
NM_001009993	chr2	45555
NM_015176	chr1	45434
NM_003676	chr1	10213
NM_144780	chr1	10213
NM_002533	chr1	102836
NM_206840	chr1	102836
NM_014184	chr1	19097
NM_025160	chr1	48519
NM_152495	chr1	124071
NM_002296	chr1	26580
NM_194442	chr1	27315
NM_001008493	chr1	166312
NM_018212	chr1	166312
NM_003133	chr1	12630
NM_000120	chr1	20285
NM_014698	chr1	36809
NM_020997	chr1	2854
NM_013328	chr1	4385
NM_003240	chr1	4617
NM_152608	chr1	16625
NM_002107	chr1	9282
NM_022735	chr1	42042
NM_031944	chr1	2130
NM_173083	chr1	78334
NM_001618	chr1	47286
NM_001003665	chr1	56803
NM_002221	chr1	105804
NM_000447	chr1	24838
NM_012486	chr1	24838
NM_178549	chr1	92882
NM_023007	chr1	4178
NM_053052	chr1	46230
NM_183062	chr1	30752
NM_003395	chr1	26903
NM_033131	chr1	54210
NM_001024226	chr1	16552
NM_001658	chr1	16552
NM_001024227	chr1	16062
NM_001024228	chr1	16062
NM_024319	chr1	2594
NM_181441	chr1	2624
NM_181454	chr1	2624
NM_181455	chr1	2624
NM_181456	chr1	2624
NM_181462	chr1	2624
NM_181463	chr1	2624
NM_181464	chr1	2624
NM_181465	chr1	2624
NM_000858	chr1	8670
NM_020435	chr1	9973
NM_001010867	chr1	16442
